Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Cafe, Italian, Continental",4.1499999999999995,6,3396
"Pizza, Sandwich",4.14,5,1345
"Italian, Mediterranean, Pizza",4.133333333333333,3,970
Seafood,4.114285714285715,14,5332
"Japanese, Korean",4.1000000000000005,3,727
"Chinese, Thai, Japanese",4.1000000000000005,3,1206
Thai,4.1,16,3299
"Italian, Mediterranean, Sushi, Desserts",4.1,1,232
"Italian, Mediterranean, Continental, North Indian",4.1,2,3145
"Mexican, Spanish",4.1,1,543
"Bengali, Seafood",4.1,2,1999
"Latin American, Steak",4.1,1,538
"Chinese, Continental, North Indian, Mexican",4.1,1,569
"British, Scottish, Seafood",4.1,1,200
"Japanese, Sushi, Teriyaki",4.1,1,393
"Burger, American, Grill",4.1,1,298
"Breakfast, Modern Australian",4.1,1,40
"British, Bar Food, Sandwich",4.1,1,1020
"British, Burger, Cafe",4.1,1,82
"Tea, Cafe",4.1,1,68
"European, American",4.1,2,2861
"Desserts, Latin American, Argentine",4.1,1,374
"Desserts, Italian, Pizza",4.1,1,430
"Burger, Steak, Seafood",4.1,1,84
"Italian, North Indian, Desserts, Continental",4.1,1,164
"Mediterranean, Mexican, North Indian, American",4.1,1,1949
"Continental, American, Cafe",4.1,1,567
"Continental, North Indian, Chinese, Mediterranean",4.1,1,799
"Cafe, Bakery, Italian",4.1,1,251
"Cafe, Bakery, Parsi",4.1,1,84
"Continental, North Indian, Chinese, Asian",4.1,1,163
"Italian, Continental, Chinese",4.1,1,594
"Mughlai, Hyderabadi",4.1,1,84
"Cafe, American, Italian, Continental",4.1,1,377
"Italian, Continental, Chinese, Mexican",4.1,1,204
"Italian, French",4.1,1,711
"Italian, Continental, Mexican, Lebanese",4.1,1,178
"Breakfast, Cajun",4.1,1,802
"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",4.1,1,300
"Asian, Sushi",4.1,1,695
"Asian, Seafood",4.1,1,105
"Indian, Mughlai, South Indian, Biryani",4.1,1,372
"North Indian, Mughlai, Mexican, Thai",4.1,1,395
"Continental, Mexican, Burger, American, Pizza, Tex-Mex",4.1,1,467
"European, Asian, North Indian, Italian, Continental, Pizza",4.1,1,826
"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",4.1,1,140
"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",4.1,1,1431
"Continental, North Indian, Mughlai, Italian",4.1,1,387
"Bar Food, Seafood, Vegetarian",4.1,1,171
"North Indian, American, Chinese",4.1,1,501
Australian,4.1,1,87
"Bakery, French",4.1,1,791
"Continental, Italian, Mediterranean, Asian",4.1,1,153
"Asian, Sushi, Thai",4.1,1,496
"BBQ, Sandwich",4.1,1,182
"North Indian, Italian, Asian, South Indian",4.1,1,192
"International, Southern",4.1,1,465
"Indian, Rajasthani",4.1,1,1448
"Asian, Japanese, Korean, Thai, Chinese",4.1,1,188
